Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018
Brazil,BRA,199977707,201721767,203459650,205188205,206859578,208504960,210166592
China,CHN,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000
"Iran, Islamic Rep.",IRN,77324451,78458928,79961672,81790841,83306231,84505076,85617562
Japan,JPN,127629000,127445000,127276000,127141000,127076000,126972000,126811000
Nigeria,NGA,170075932,174726123,179379016,183995785,188666931,193495907,198387623
Pakistan,PAK,202205861,205337562,208251628,210969298,213524840,216379655,219731479
Russian Federation,RUS,143201721,143506995,143819667,144096870,144342397,144496739,144477859
United States,USA,313877662,316059947,318386329,320738994,323071755,325122128,326838199
Uzbekistan,UZB,29774500,30243200,30757700,31298900,31847900,32388600,32956100
